,Unnamed: 0,ShoeName,Category,no_of_colors,Price
212,212,"Mayze Stack Soft Winter Women's Sneakers
PUMA Black",Women,2 ,110.00
213,213,"PUMA x BLACK FIVES All-Pro NITRO™ Basketball Shoes
PUMA Navy",Women,1 ,140.00
214,214,"PUMA x PLEASURES Velophasis Layers Sneakers
Cayenne Pepper-Astro Red",Women,1 ,140.00
215,215,"Deviate NITRO™ 2 Women's Running Shoes
Fire Orchid-PUMA Black-Icy Blue",Women,3 ,160.00
216,216,"Velophasis Technisch Sneakers 
PUMA Black-PUMA White",Women,3 ,120.00
217,217,"KING ULTIMATE FG/AG Women's Soccer Cleats
Alpine Snow-Asphalt-Yellow Blaze",Women,2 ,200.00
218,218,"ForeverRUN NITRO™ Women's Running Shoes
PUMA Black-PUMA White",Women,2 ,150.00
219,219,"ULTRA ULTIMATE FG/AG Women's Soccer Cleats
Ultra Blue-PUMA White-Pro Green",Women,2 ,220.00
220,220,"Mayze Classic Women's Sneakers
Puma Black",Women,2 ,90.00
221,221,"PUMA Cali Court Leather Women's Sneakers
PUMA White-PUMA Black",Women,2 ,85.00
222,222,"Mayze Stack Injex Women's Sandals
Frosted Ivory",Women,2 ,60.00
223,223,"PUMA x BLACK FIVES Rens 100 Suede Sneakers
Ivory Glow-PUMA Navy",Women,1 ,100.00
224,224,"Blacktop Rider Women's Sneakers
PUMA White-Frosty Pink",Women,1 ,90.00
225,225,"Cali Court Fall Tones Women's Sneakers
Warm White-Toasted Almond-Cashew",Women,1 ,85.00
226,226,"Voltaic Evo Women's Running Shoe
Sugared Almond-PUMA Gold",Women,1 ,80.00
227,227,"Liberate NITRO™ 2 Women's Running Shoes
Fire Orchid-PUMA Silver-Icy Blue",Women,2 ,120.00
228,228,"SEASONS Voyage NITRO™ 3 Women's Running Shoes
Alpine Snow-Ultra Blue-Yellow Burst",Women,5 ,140.00
229,229,"ForeverRun NITRO™ Women's Running Shoes
PUMA White-Cherry Tomato",Women,2 ,150.00
230,230,"Velophasis Multi Sneakers
Chocolate Chip-Flaxen",Women,1 ,120.00
231,231,"Run XX NITRO™ 2 Women's Running Shoes
Koral Ice-Speed Green",Women,2 ,140.00
232,232,"Scuderia Ferrari Clyde Garage Crews Sneakers
PUMA Black-Warm White",Women,2 ,90.00
233,233,"Fuse 2.0 Women's Training Shoes
PUMA Black-PUMA White-Dark Coal",Women,1 ,100.00
234,234,"Velophasis Technisch Sneakers 
PUMA White-PUMA Black",Women,3 ,120.00
235,235,"Scuderia Ferrari Clyde Garage Crews Sneakers
Rosso Corsa-Warm White",Women,2 ,90.00
236,236,"Clyde OG PUMA 75th Year Anniversary Celebration Sneakers
Persian Blue-Orange Brick",Women,1 ,100.00
237,237,"Palermo Sneakers
Cobalt Glaze-PUMA White",Women,5 ,90.00
238,238,"PWR NITRO™ Squared Women's Training Shoes
PUMA White-Speed Green",Women,2 ,120.00
239,239,"Run XX NITRO™ 2 Women's Running Shoes
PUMA Black-Koral Ice-Speed Green-PUMA Silver",Women,2 ,140.00
240,240,"Clyde OG PUMA 75th Year Anniversary Celebration PRM Sneakers
Sedate Gray-Sedate Gray",Women,2 ,100.00
241,241,"PWR NITRO™ Squared Women's Training Shoes
PUMA Black-Bold Blue-Future Pink",Women,2 ,120.00
242,242,"ForeverRun NITRO™ Women's Running Shoes
Cherry Tomato-PUMA Black",Women,2 ,150.00
243,243,"PWRSPIN Indoor Cycling Shoes
Ultra Orange-PUMA Black",Women,1 ,120.00
244,244,"Electrify NITRO™ 3 Women's Running Shoes
PUMA Black-Peach Smoothie-Speed Green",Women,3 ,100.00
245,245,"Dinara Women's Boots
Chocolate",Women,2 ,100.00
246,246,"CA Pro Women's Sneakers
PUMA White-Warm White",Women,1 ,100.00
247,247,"PUMA x CIELE Deviate NITRO™ 2 Women's Running Shoes
Dusty Tan",Women,2 ,160.00
248,248,"Palermo Sneakers
Pelé Yellow-Club Red",Women,5 ,90.00
249,249,"Palermo Special Women's Sneakers
Pink Delight-PUMA Green-Gum",Women,1 ,90.00
250,250,"Fuse 2.0 Women's Training Shoes
PUMA White-Fire Orchid-PUMA Black",Women,3 ,100.00
251,251,"PUMA-180 PRM Women's Sneakers
PUMA White-Icy Blue-Warm White",Women,2 ,110.00
252,252,"Palermo Sneakers
Club Red-Club Navy",Women,5 ,90.00
253,253,"Deviate NITRO™ Elite 2 'Marathon Series' Women's Running Shoes
PUMA Black-Strawberry Burst-Yellow Blaze",Women,1 ,200.00
254,254,"Palermo Sneakers
Vine-Clementine",Women,5 ,90.00
255,255,"Velophasis Phased Women's Sneakers
PUMA Black-Intense Lavender",Women,1 ,120.00
256,256,"SEASONS Voyage NITRO™ 3 Women's Running Shoes
Cool Dark Gray-Koral Ice",Women,5 ,140.00
257,257,"PWR XX NITRO™ Luxe Retro Glam Women's Training Shoes
PUMA Black-Cool Dark Gray-PUMA Silver",Women,1 ,110.00
258,258,"PUMA-180 PRM Women's Sneakers
Frosted Ivory-PUMA White",Women,2 ,110.00
259,259,"SEASONS Voyage NITRO™ 3 Women's Running Shoes
PUMA Black-Cool Dark Gray-PUMA Silver",Women,5 ,140.00
